epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,70.381,1.18335,1.49039,0.89793,0.91755,0.5715,0.86215,0.56121,1.23645,2.07032,0.91426,0.000759318,0.000759318,0.000759318
57,71.722,1.37917,1.56897,0.9383,0.91755,0.5715,0.86215,0.56121,1.23645,2.07032,0.91426,0.000742815,0.000742815,0.000742815
58,73.012,1.05558,1.34876,0.89615,0.87475,0.79227,0.88108,0.6115,1.14839,1.68041,0.89933,0.000726312,0.000726312,0.000726312
59,74.2401,1.22996,1.49429,0.9828,0.87475,0.79227,0.88108,0.6115,1.14839,1.68041,0.89933,0.000709809,0.000709809,0.000709809
60,75.3124,1.14519,1.33898,0.95006,0.87475,0.79227,0.88108,0.6115,1.14839,1.68041,0.89933,0.000693305,0.000693305,0.000693305
61,76.4296,1.20775,1.26661,0.91929,0.87475,0.79227,0.88108,0.6115,1.14839,1.68041,0.89933,0.000676802,0.000676802,0.000676802
62,77.5391,1.00603,1.44748,0.91256,0.8493,0.89079,0.89526,0.64764,1.10384,1.3584,0.88834,0.000660299,0.000660299,0.000660299
63,78.7206,1.03622,1.27742,0.92342,0.8493,0.89079,0.89526,0.64764,1.10384,1.3584,0.88834,0.000643795,0.000643795,0.000643795
64,79.9166,0.95031,1.4338,0.95049,0.8493,0.89079,0.89526,0.64764,1.10384,1.3584,0.88834,0.000627292,0.000627292,0.000627292
65,81.1536,1.23203,1.28694,1.05122,0.8493,0.89079,0.89526,0.64764,1.10384,1.3584,0.88834,0.000610789,0.000610789,0.000610789
66,82.4106,1.13572,1.33395,0.85814,0.87287,0.8304,0.91526,0.68146,1.03193,1.16201,0.88436,0.000594286,0.000594286,0.000594286
67,83.7076,0.99094,1.33243,0.96918,0.87287,0.8304,0.91526,0.68146,1.03193,1.16201,0.88436,0.000577782,0.000577782,0.000577782
68,85.0316,1.05911,1.39747,0.91801,0.87287,0.8304,0.91526,0.68146,1.03193,1.16201,0.88436,0.000561279,0.000561279,0.000561279
69,86.2496,1.16247,1.51326,1.09415,0.87287,0.8304,0.91526,0.68146,1.03193,1.16201,0.88436,0.000544776,0.000544776,0.000544776
70,87.4586,1.04642,1.27959,0.90551,0.93677,0.90976,0.91527,0.64986,0.95763,1.00188,0.87836,0.000528272,0.000528272,0.000528272
71,88.6536,1.04495,1.31099,0.93245,0.93677,0.90976,0.91527,0.64986,0.95763,1.00188,0.87836,0.000511769,0.000511769,0.000511769
72,89.8726,0.98278,1.20823,0.8535,0.93677,0.90976,0.91527,0.64986,0.95763,1.00188,0.87836,0.000495266,0.000495266,0.000495266
73,91.1076,0.99043,1.21098,0.87946,0.93677,0.90976,0.91527,0.64986,0.95763,1.00188,0.87836,0.000478762,0.000478762,0.000478762
74,92.388,1.34596,1.46378,0.97336,0.93955,0.90502,0.91526,0.65705,0.92664,0.95731,0.87249,0.000462259,0.000462259,0.000462259
75,93.603,0.95437,1.1787,0.88455,0.93955,0.90502,0.91526,0.65705,0.92664,0.95731,0.87249,0.000445756,0.000445756,0.000445756
76,94.8246,1.22126,1.26407,0.986,0.93955,0.90502,0.91526,0.65705,0.92664,0.95731,0.87249,0.000429253,0.000429253,0.000429253
77,95.9981,0.97558,1.23215,0.90531,0.93955,0.90502,0.91526,0.65705,0.92664,0.95731,0.87249,0.000412749,0.000412749,0.000412749
78,97.4503,0.99949,1.10323,0.92074,0.94095,0.89135,0.91526,0.67024,0.88656,0.95689,0.85674,0.000396246,0.000396246,0.000396246
79,98.6198,0.87755,1.30305,0.9233,0.94095,0.89135,0.91526,0.67024,0.88656,0.95689,0.85674,0.000379743,0.000379743,0.000379743
80,99.9187,0.93349,1.25079,0.89193,0.94095,0.89135,0.91526,0.67024,0.88656,0.95689,0.85674,0.000363239,0.000363239,0.000363239
81,101.165,0.87264,1.17219,0.93581,0.94095,0.89135,0.91526,0.67024,0.88656,0.95689,0.85674,0.000346736,0.000346736,0.000346736
82,102.521,0.85027,1.14117,0.87376,0.93861,0.90507,0.91525,0.68769,0.84361,0.9534,0.85031,0.000330233,0.000330233,0.000330233
83,103.729,0.97362,1.25299,0.8588,0.93861,0.90507,0.91525,0.68769,0.84361,0.9534,0.85031,0.000313729,0.000313729,0.000313729
84,104.98,1.01048,1.1826,0.92876,0.93861,0.90507,0.91525,0.68769,0.84361,0.9534,0.85031,0.000297226,0.000297226,0.000297226
85,106.248,0.78542,1.10042,0.87182,0.93861,0.90507,0.91525,0.68769,0.84361,0.9534,0.85031,0.000280723,0.000280723,0.000280723
86,107.551,1.06307,1.38608,0.91464,0.95735,0.90677,0.91525,0.70887,0.80882,0.90877,0.8425,0.00026422,0.00026422,0.00026422
87,108.774,0.97541,1.10607,0.91804,0.95735,0.90677,0.91525,0.70887,0.80882,0.90877,0.8425,0.000247716,0.000247716,0.000247716
88,110.322,1.01428,1.37199,0.89195,0.95735,0.90677,0.91525,0.70887,0.80882,0.90877,0.8425,0.000231213,0.000231213,0.000231213
89,111.51,0.8936,1.47524,0.86832,0.95735,0.90677,0.91525,0.70887,0.80882,0.90877,0.8425,0.00021471,0.00021471,0.00021471
90,112.763,1.00813,1.13136,0.88376,0.97392,0.90752,0.91525,0.70567,0.7885,0.88683,0.83802,0.000198206,0.000198206,0.000198206
91,113.971,0.96293,1.44701,0.89704,0.97392,0.90752,0.91525,0.70567,0.7885,0.88683,0.83802,0.000181703,0.000181703,0.000181703
92,115.171,0.86795,1.56855,0.83037,0.97392,0.90752,0.91525,0.70567,0.7885,0.88683,0.83802,0.0001652,0.0001652,0.0001652
93,116.349,0.92989,1.58064,0.81885,0.97392,0.90752,0.91525,0.70567,0.7885,0.88683,0.83802,0.000148696,0.000148696,0.000148696
94,117.598,0.79775,1.39348,0.90194,0.98989,0.9092,0.91525,0.71415,0.77536,0.85143,0.83642,0.000132193,0.000132193,0.000132193
95,118.78,0.7677,1.49309,0.85219,0.98989,0.9092,0.91525,0.71415,0.77536,0.85143,0.83642,0.00011569,0.00011569,0.00011569
96,119.947,0.86187,1.35073,0.86022,0.98989,0.9092,0.91525,0.71415,0.77536,0.85143,0.83642,9.91865e-05,9.91865e-05,9.91865e-05
97,121.145,0.81599,1.48454,0.90713,0.98989,0.9092,0.91525,0.71415,0.77536,0.85143,0.83642,8.26832e-05,8.26832e-05,8.26832e-05
98,122.403,0.91778,1.33352,0.87731,0.99267,0.91487,0.91525,0.72116,0.776,0.83584,0.83592,6.61799e-05,6.61799e-05,6.61799e-05
99,123.955,0.94849,1.81401,0.86709,0.99267,0.91487,0.91525,0.72116,0.776,0.83584,0.83592,4.96766e-05,4.96766e-05,4.96766e-05
100,125.159,0.92629,1.44111,0.88966,0.99267,0.91487,0.91525,0.72116,0.776,0.83584,0.83592,3.31733e-05,3.31733e-05,3.31733e-05
